Comment,Llama 70B 1,Mixtral 1,Deepseek 1,Llama 70B 2,Mixtral 2,Deepseek 2,Llama 70B 3,Mixtral 3,Deepseek 3,Llama 70B 4,Mixtral 4,Deepseek 4,Llama 70B 5,Mixtral 5,Deepseek 5
"Part 3
The owner of Remedy Wine Bar (which closes in days)...",Enabling homelessness through misguided kindness,Compassion vs. Enabling,Compassion as Complicity,Misguided Compassion as Systemic Neglect,Compassion as Complicity in Systemic Neglect,Compassion as Enabling Neglect,Misguided Compassion: Complicity in Homelessness Neglect,Compassion as Neglect,Compassion as Complicity in Neglect,Compassion as Complicity in Neglect,Compassion as Complicity in Systemic Neglect,Compassion as Complicity in Systemic Neglect,Compassion as Complicity in Systemic Neglect,Compassion as Complicity in Systemic Neglect,Compassion as Complicity in Systemic Neglect
Militia's aren't your friend nor are they trying to protect...,"Dangerous, Lawless, Extremist Militias promoting violence",Dangerous Extremism,Dangerous Extremist Groups,Anti-government Extremist Militias,Violent Anti-government Extremism,Domestic Terrorist Groups,Sovereign Citizen Extremism,Sovereign Citizen Violence,Anti-government Extremist Militias,Violent Sovereign Citizen Extremism,Violent Anti-Government Extremism,Violent Sovereign Citizen Extremism,Violent Sovereign Citizen Extremism,Violent Sovereign Citizen Extremism,Violent Sovereign Citizen Extremism
"Well, this wasn't meant to be a dissertation. It's an entertainment piece, so I was mostly trying to be funny—whether I was successful in that regard is up to the reader. And of all these guys, I have a certain fondness for Hitchens, as I make clear, but I had to make fun of him for that whole ""women aren't funny"" thing. And while I can't say I have any ""favorite"" atheist artists or writers—I don't really seek them out, to be honest—I certainly don't think all atheists are ""awful"" (some of my best friends are atheists; some of them may even be gay and/or black!). I mostly just get annoyed when someone thinks identifying as an atheist inherently makes them smarter than a rational theist. I'm cool with whatever philosophical choice you've decided to live your life under, as long as you're not a dick about it.",Skeptical humor with a respect for individual philosophical choices.,Tolerant Humor,Humor and Atheism: A Respectful Take,Respectful Skeptical Humor,Humorous and Respectful Atheism,Humorous Atheism with Respectful Skepticism,Humorous Atheism Promoting Respectful Dialogue,Humorous Atheism with Respectful Skepticism,Respectful Humor in Atheist Discourse,Humorous Atheism Respecting Philosophical Differences,Humorous and Respectful Atheism,Humorous Atheism with Respectful Skepticism,Humorous and Respectful Atheism,Humorous and Respectful Atheism,Humorous and Respectful Atheism
"I think what we have here is a case when a coach gets so frustrated at the fact that his team (which he has probably seen play very aggressive against teams that mirror them) got on the court against a predominately if not all African American Team and wanted no parts of the competition physically. In an attempt to say hey fellas its basketball, hello!!! don't be afraid of them cause they don't look like you. Please fellas it can't be because they don't look like you. Damn it, it is. I can't believe this ish! Can you envision the frustration a coach could have if he believes his team is not playing defense because they don't want to touch a kid that is umm 'black.' Is this a far-fetched assumption by coach Adelman? Did he handle it correctly, not sure but......",Perceived racial bias impacting team's performance.,Racial Intimidation Hypothesis,Racial Bias in Athletic Performance,Racial Bias Affecting Team Aggression,Racial Bias Influencing Competitive Behavior,Perceived Racial Bias Impacting Team Dynamics,Perceived Racial Intimidation Impacting Team Performance,Implicit Racial Bias in Athletic Competition,Racial Stereotyping and Team Hesitation,Racial Bias and Team Dynamics,Perceived Racial Threat and Athletic Performance,Intergroup Anxiety and Athletic Performance,Racial Bias Affecting Team Aggression,Racial Bias Affecting Team Aggression,Racial Bias Affecting Team Aggression
"All this ""support our troops"" stuff is a bunch of drivel. Why people would respect anyone who is willing to kill someone because they were ordered to by another, is beyond my comprehension. People who volunteer to participate in American gangsterism obviously do so for personal material gain—and they likely wrap their self-interest in the mantle of patriotism or some other nonsense.
Reinstitute a draft, include women,—go for it. The soft-brained ones will show up ready and willing. A bunch of others will head for the hills with their backpacks in hand and still others will simply head for jail. It could be the beginning of something positive, drafting women. Better the former scenarios than be institutionalized by the U.S. military's raping and robbing machine. Down with American imperialism, at home and abroad.",Anti-militarism/critique of American imperialism.,Anti-Militarism,Critique of Military Glorification and Advocacy for Conscription Against Imperialism,Critique of Military Glorification & Draft Advocacy Against Imperialism,Anti-Militarism & Draft Advocacy,Challenging Military Culture through Conscription and Anti-Imperialism,"Anti-Militarism, Conscription Advocacy, and Anti-Imperialism",Critique of Military Glorification as 'American Gangsterism' and Advocacy for Conscription Against Imperialism,Questioning Military Culture and Imperialism through Conscription,Military Culture Critique and Imperialism Opposition,Anti-Militarism and Anti-Imperialism via Conscription Advocacy,Critique of Military Culture and Imperialism through Conscription,"Anti-Militarism, Conscription Advocacy, and Anti-Imperialism","Anti-Militarism, Conscription Advocacy, and Anti-Imperialism","Anti-Militarism, Conscription Advocacy, and Anti-Imperialism"
"I see it. The black people riot, set buildings on fire, loot businesses, attack innocent people and attack the police and the FBI did nothing . what the black people did last year was a act of terrorism by placing innocent people's lives in danger . these white men did not riot, did not burn down buildings, did not attack innocent people, did not attacks cops and did not place innocent peoole's life in danger but the FBI went after them as if they were terrorist. There is a big difference in between in how we act compared to the black lives matter people.",Double standard in response to racial violence and property destruction.,Double Standard Perception,Racial Disparity in Treatment,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Perceived Racial Bias in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response,Racial Disparity in Law Enforcement Response
"Bunkerhill01, I see why this looks bad. But let's look at the differences.

The bad policing we saw with black Lives Matter was bad policing by local police.

What we saw in Malheur was the FBI trying to avoid another Ruby Ridge.

I think if the FBI was responding to a Black Lives protest, you might have seen better policing.

Likewise, if the Ferguson police force had been put in charge of the Malheur occupation, there would have been a bloodbath.

I don't ""love"" the FBI, but they are smarter and better trained than the underpaid, undertrained cops that beat up protestors.

My issue is why the FBI wasn't at the Malheur refuge when the Bundys showed up and why the BLM didn't at least remove computers and heavy equipment. Live and learn.

But yeah, I share your feelings that a racist religious terrorist like Ammon Bundy seems to get off easy. Let's hope he does a lot of time.",Differing Policing Responses based on Context and Agency Involvement,Contextualized Policing Disparity,Critique of Law Enforcement Practices and Agency Comparisons,Unequal Policing and Agency Disparities,Unequal Policing and Agency Disparities,Unequal Policing and Agency Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities,Agency-Driven Policing Disparities
"I can't understand how defenders of Israel can condone the theft of Palestinian land; and how they can be justified on any grounds other than, well, we can take it. 
    Israel has continually drifted into the thrall of ultra right-wing Jews who believe that the only good Arab is a dead Arab, even to the point of murdering their own leaders (Rabin). 
    Israel will never know peace unless and until they own up to what they did in 1967. I agree that the Palestinian leadership has been less than forthright over the years, 
    but in fact the great roadblock will forever be the West Bank and Gaza. 

    Moreover, as long as 20% of the Israeli population are Arabs (who are strangers in their own land) Israel will never be fully democratic nor fully Jewish. It can be one or the other but not both. 

    Now, Mr. Weinerman invokes the current chaos neighboring countries; chaos caused entirely by the American intervention in Iraq in 2003, as reason enough to hold on to what they took nearly 50 years ago.",Israeli land expansion and treatment of Arabs threatens Israeli democracy and peace,Occupation Legitimacy Crisis,Ethnic Conflict and Territorial Disputes,Israeli-Palestinian Territorial Disputes and Ethnic Tensions,Israeli-Palestinian Territorial Disputes and Ethnic Tensions,Ethnic Conflict and Territorial Disputes,Political Legitimacy and Peace in Ethnically Divided Territories,Political Legitimacy and Peace in Ethnically Divided Territories,Ethnic Conflict and Territorial Disputes,Ethnic Conflict and Territorial Disputes,Ethnic Conflict and Territorial Disputes,Ethnic Conflict and Territorial Disputes,Ethnic Conflict and Territorial Disputes,Ethnic Conflict and Territorial Disputes,Ethnic Conflict and Territorial Disputes
"Since the Republicans have vowed to deny any nominee a vote, Obama should make a recess appointment. Currently Congress is in recess and he could do it now. Even if they managed to block and delay for the rest of the year, my understanding is that he could push through a nominee without consent from the Senate.

Let's get something clear about Scalia. Our politics are a direct reflection of our moral beliefs. He was understandably a conservative hero. He was a champion of bigotry, blocking progress for non-heterosexuals at every turn. He also blocked environmental protection every chance he got. He had nine children, which is selfish and irresponsible... he was probably opposed to birth control. And one of his favorite activities was killing defenseless animals for fun. He was a terrible person. This world and our Supreme Court is much better off without him.","Obama recess appointment justified due to Scalia's conservatism, bigotry, and harm to marginalized groups and environment",Partisan Outrage and Moral Indictment,Political Strategy and Moral Critique,Recess Appointment Strategy & Scalia's Moral Critique,Strategic Recess Appointment: Critique of Scalia's Conservative Legacy,Political Maneuvering & Moral Reckoning,Recess Appointment as Moral Imperative,Strategic Opposition to Conservative Legacy,"Obama could make a recess appointment, while Scalia is condemned for bigotry and opposing progress",Political Maneuvering and Moral Judgment: Obama's Recess Appointment vs. Scalia's Criticized Conservative Legacy,Obama's Recess Appointment Amidst Partisan Outrage and Moral Indictment of Scalia's Conservative Actions,Bypassing Republican Opposition and Condemning Scalia's Bigotry: Obama's Recess Appointment and Judgment of Conservative Values,Strategic Recess Appointment Amidst Moral Critique of Scalia's Legacy,Recess Appointment Strategy & Moral Condemnation of Scalia,Recess Appointment Strategy and Moral Critique of Scalia's Legacy
"""This law subverts our ability to be watchful."" - You need to pay closer attention. All this bill does is make current case law here in Oregon statutory. The legal system is already operating on this basis, and no abuse has ever occurred.

""Conflating the civil disobedience of a group who has to date never hurt or killed anyone with radical Muslim extremists is nonsense"" - No, they are very much the same thing. Both are being tracked by the Southern Poverty Law Center and others for being hate groups, as well as being monitored by the Department of Homeland Security. Both pose a real danger to the government and to members of law enforcement. They are heavily armed, and often threaten violence.

You forget about all of the many reports that came out of Burns, of people being intimidated and threatened by the Malheur occupiers and their supporters. Many people in Burns were scared. Those arrested all appear to be very dangerous armed individuals, who are mentally ill.",Mischaracterization of groups and undermining public safety,Minimizing Dissent vs. State Surveillance,Threat of Subversion and Danger,Mischaracterization and Threat Exaggeration,Minimizing Dissent vs. State Surveillance,Threat of Subversion and Danger,Subversion Threat Perception and Group Conflation,Dissent Minimization and Public Safety Concerns,Threat Perception and State Power Dynamics,Group Conflation and Associated Threat Perception,Subversion and Public Safety Concerns,Dissent Minimization and State Surveillance,Threat of Subversion and Danger,Group Conflation and Threat Perception,Threat of Subversion and Danger
